FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
27101,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,07:43:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,HDA LOS MORALES,AVENIDA,ROMULO GARZA Y JUAN MONYTEMAYOR,"25.718994,-100.242536"
23112,2021,AGOSTO,2021-08-02,LUNES,15:22:00,LATERAL,FINIQUITADO,C4,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775,-100.309218"
26121,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,07:50:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,DIEGO DIAZ Y NOGALAR,"25.715636,-100.283725"
23704,2021,AGOSTO,2021-08-02,LUNES,17:48:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,LA ESTANCIA MINERA,AVENIDA,ROMULO GARZA Y FUNIDIORES,"25.719442,-100.239311"
23885,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,07:50:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,DIEGO DIAZ Y NOGALAR,"25.715636,-100.283725"
23113,2021,AGOSTO,2021-08-02,LUNES,19:10:00,ALCANCE,INVESTIGACIONES,RUTINA,COLONIA,CABECERA MUNICIPAL,AVENIDA,UNIVERSIDAD Y JUAREZ,"25.753277,-100.297828"
26789,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,13:29:00,ALCANCE,PERITAJES,RUTINA,COLONIA,LA NOGALERA,AVENIDA,REP MEXICANA E ISAIAS ALVAREZ,"25.765916,-100.272448"
23858,2021,AGOSTO,2021-08-02,LUNES,19:49:00,REVERSA,FINIQUITADO,911,COLONIA,INDUSTRIAS DEL VIDRIO,AVENIDA,ROMULO GARZA Y DEL PARAISO,"25.721632,-100.230537"
26169,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,16:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CHAPULTEPEC,AVENIDA,UNIVERSIDAD Y JUAN PABLO II,"25.74965,-100.29912"
23859,2021,AGOSTO,2021-08-02,LUNES,21:20:00,LATERAL,FINIQUITADO,911,COLONIA,VALLE LAGRANGE,AVENIDA,LOPEZ MATEOS Y EMILIA  LAGRANGE,"25.721682,-100.262533"
23975,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,17:53:00,ESTRELLAMIENTO,PERITAJES,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,ANGELES Y LINEA DE GAS,"25.70838,-100.275312"
22898,2021,AGOSTO,2021-08-03,MARTES,08:24:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,MERCADO DE ABASTOS,AVENIDA,LOS ANGELES Y DIEGO DIAZ DE BERLANGA,"25.709368,-100.287704"
27031,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,19:10:00,ALCANCE/PROYECCION,A.M.P.,C4,COLONIA,JARDINES DE ANAHUAC,AVENIDA,DIEGO DIAZ Y CALLE 9,"25.738134,-100.275438"
23714,2021,AGOSTO,2021-08-03,MARTES,12:23:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LAS MISIONES,AVENIDA,MANUEL L BARRAGAN Y SENDERO,"25.765865,-100.305457"
26194,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,19:28:00,CRUCERO,FINIQUITADO,C4,COLONIA,JARDINES DE ANAHUAC,CALLE,CALLE 16 Y 8 AV,"25.733981,-100.278321"
22325,2021,AGOSTO,2021-08-03,MARTES,14:46:00,ALCANCE,FINIQUITADO,RUTINA,RESIDENCIAL,PASEO DE LOS ANGELES,AVENIDA,ROMULO GARZA Y JABATOS,"25.722477,-100.227965"
26879,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,19:47:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,BARRAGAN Y ALMAZAN,"25.737044,-100.314276"
23860,2021,AGOSTO,2021-08-03,MARTES,15:50:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,MIGUEL ALEMAN,AVENIDA,ROMULO GARZA Y  PARQUE PONIENTE,"25.723289,-100.225858"
26951,2021,NOVIEMBRE,2021-11-25,JUEVES,00:36:00,ALCANCE/PROYECCION,FINIQUITADO,C4,COLONIA,MARGARITA SALAZAR,AVENIDA,LOPEZ MATEOS Y CASA BLANCA,"25.736241,-100.243574"
23755,2021,AGOSTO,2021-08-03,MARTES,15:50:00,ALCANCE Y PROYECCION,FINIQUITADO,RUTINA,COLONIA,VILLA LAS PUENTES,AVENIDA,JUAN PABLO II Y OJO DE AGUA,"25.738508,-100.2898"
27080,2021,NOVIEMBRE,2021-11-25,JUEVES,08:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,NOGALAR Y PRIV NOGALAR,"25.718747,-100.283502"
